week,n,roc_auc,pr_auc
2018-04-30,19812,0.9234704350490195,0.6425431161933872
2018-05-07,19997,0.9100661440490071,0.5590287067565055
2018-05-14,20525,0.9134800961787173,0.57464130762626
2018-05-21,19737,0.933787482803117,0.6425002731207584
2018-05-28,12356,0.9470106569952871,0.6370885226588872
